tconst,originalTitle,isAdult,startYear,runtimeMinutes,averageRating,numVotes,title,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western,poster_url,original_language
tt0069049,The Other Side of the Wind,0,2018,122,6.7,7202,De l'autre côté du vent,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,en
tt0069050,The Other,0,1972,108,6.8,6158,L'autre,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,en
tt0069073,Perché quelle strane gocce di sangue sul corpo di Jennifer?,0,1972,94,6.4,2810,Les rendez-vous de Satan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,it
tt0069089,Pink Flamingos,0,1972,93,6.0,24254,Pink Flamingos,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,en
tt0069090,Pink Floyd: Live at Pompeii,0,1972,92,8.6,9161,Pink Floyd à Pompéi,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,en
tt0069095,...Più forte ragazzi!,0,1972,120,6.6,6847,"Maintenant, on l'appelle Plata",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,it
tt0069097,"Play It Again, Sam",0,1972,85,7.6,26257,Tombe les filles et tais-toi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,en
tt0069103,Pocket Money,0,1972,102,5.4,1696,Les indésirables,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,en
tt0069113,The Poseidon Adventure,0,1972,117,7.1,44608,L'aventure du Poséidon,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,en
tt0069120,La prima notte di quiete,0,1972,132,7.2,2153,Le professeur,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,it
tt0069121,Prime Cut,0,1972,88,6.7,5121,Carnage,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,en
tt0069134,Pulp,0,1972,95,5.9,2555,Retraite mortelle,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,en
tt0069158,Rage,0,1972,100,6.2,1003,Rage,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,en
tt0069159,Una ragione per vivere e una per morire,0,1972,119,6.1,1910,"Une raison pour vivre, une raison pour mourir",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,it
tt0069179,The Revengers,0,1972,106,6.1,1158,La poursuite sauvage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,en
tt0069191,Roma,0,1972,120,7.3,12809,Fellini Roma,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,it
tt0069197,The Call of the Wild,0,1972,105,6.0,1796,L'appel de la forêt,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,en
tt0069198,The Ruling Class,0,1972,154,7.3,6227,Dieu et mon droit,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,en
tt0069225,Savage Messiah,0,1972,97,6.9,1444,Le messie sauvage,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,en
tt0069229,Treasure Island,0,1972,95,5.8,1292,L'île au trésor,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,en
